threshold,f1,mcc,precision,recall
0.0,0.3916365098512264,0.0,0.2435,1.0
0.005,0.522812667740204,0.38205694132845175,0.3539244186046512,1.0
0.01,0.5509049773755657,0.42504498549287134,0.3801717408274785,1.0
0.015,0.5692577440093513,0.45173648506748815,0.397875816993464,1.0
0.02,0.5846338535414166,0.4734342711431123,0.41306191687871074,1.0
0.025,0.5990159901599016,0.4932700309029052,0.42756804214223004,1.0
0.03,0.6118090452261307,0.5105936333598026,0.4407239819004525,1.0
0.035,0.6243589743589744,0.5273330883540157,0.4538676607642125,1.0
0.04,0.6341145833333334,0.5401912322714764,0.4642516682554814,1.0
0.045,0.6437541308658294,0.552778081987332,0.4746588693957115,1.0
0.05,0.654130288784419,0.5662085543754641,0.48602794411177647,1.0
0.055,0.6648464163822526,0.5799640007800982,0.49795501022494887,1.0
0.06,0.6721877156659766,0.5893267538345796,0.5062370062370062,1.0
0.065,0.6796929518492673,0.5988523440594599,0.514799154334038,1.0
0.07,0.688339222614841,0.6097733239661939,0.5247844827586207,1.0
0.075,0.6962115796997855,0.6196722457036519,0.5339912280701754,1.0
0.08,0.7022350396539293,0.6272202979781384,0.5411111111111111,1.0
0.085,0.7058823529411765,0.6312504792996464,0.5460674157303371,0.997946611909651
0.09,0.7106227106227107,0.6366536882215402,0.5523917995444191,0.9958932238193019
0.095,0.7153392330383481,0.6425412115522281,0.5581127733026467,0.9958932238193019
0.1,0.7206537890044576,0.6491628482155041,0.5646100116414435,0.9958932238193019
0.105,0.7214339058999253,0.6491376685676575,0.5669014084507042,0.9917864476386037
0.11,0.729607250755287,0.6593167378528477,0.5770609318996416,0.9917864476386037
0.115,0.7325227963525835,0.662465303526327,0.5814234016887817,0.9897330595482546
0.12,0.7350689127105666,0.6647001872725353,0.5860805860805861,0.9856262833675564
0.125,0.7373271889400922,0.6675130288280229,0.588957055214724,0.9856262833675564
0.13,0.7418856259659969,0.6731862416924175,0.5947955390334573,0.9856262833675564
0.135,0.7453416149068323,0.6774835730783768,0.599250936329588,0.9856262833675564
0.14,0.7476635514018691,0.680369067324461,0.6022584692597239,0.9856262833675564
0.145,0.7531446540880503,0.6867411784081416,0.6101910828025477,0.9835728952772074
0.15,0.7579113924050633,0.6926621292183441,0.6164736164736164,0.9835728952772074
0.155,0.7581284694686756,0.6925089744696733,0.6175710594315246,0.9815195071868583
0.16,0.7563694267515924,0.6890756811326604,0.6176853055916776,0.9753593429158111
0.165,0.7581803671189146,0.6913345956183155,0.6201044386422977,0.9753593429158111
0.17,0.7592295345104334,0.691844326639692,0.6231884057971014,0.971252566735113
0.17500000000000002,0.7610619469026548,0.6941343719726591,0.6256613756613757,0.971252566735113
0.18,0.7641357027463651,0.6979748060478785,0.62982689747004,0.971252566735113
0.185,0.766612641815235,0.7010687767057632,0.6331994645247657,0.971252566735113
0.19,0.768480909829407,0.7034020467351482,0.635752688172043,0.971252566735113
0.195,0.7747747747747747,0.711260405995889,0.6444141689373297,0.971252566735113
0.2,0.7754098360655738,0.7120531922641711,0.645293315143247,0.971252566735113
0.20500000000000002,0.7756778964667215,0.7120194417969599,0.6465753424657534,0.9691991786447639
0.21,0.7782357790601814,0.7152161812610063,0.650137741046832,0.9691991786447639
0.215,0.7817427385892116,0.7192443890167234,0.6559888579387186,0.9671457905544147
0.22,0.7843463780183181,0.7225019797640525,0.6596638655462185,0.9671457905544147
0.225,0.7863105175292153,0.7249594985116233,0.6624472573839663,0.9671457905544147
0.23,0.7869674185463659,0.7257814268104824,0.6633802816901408,0.9671457905544147
0.23500000000000001,0.7872696817420436,0.725818652327205,0.6647807637906648,0.9650924024640657
0.24,0.7892527287993283,0.7283030290940228,0.6676136363636364,0.9650924024640657
0.245,0.7919123841617524,0.7316353465388891,0.6714285714285714,0.9650924024640657
0.25,0.793918918918919,0.7341496303945458,0.6743185078909613,0.9650924024640657
0.255,0.7945900253592562,0.7349906193577563,0.6752873563218391,0.9650924024640657
0.26,0.797962648556876,0.7392175159132061,0.6801736613603473,0.9650924024640657
0.265,0.7976190476190477,0.7384671032842481,0.6806966618287373,0.9630390143737166
0.27,0.7996589940323956,0.7410274382385494,0.6836734693877551,0.9630390143737166
0.275,0.7996589940323956,0.7410274382385494,0.6836734693877551,0.9630390143737166
0.28,0.803082191780822,0.7453249030770949,0.6886930983847284,0.9630390143737166
0.28500000000000003,0.8058419243986255,0.7487905061019677,0.6927621861152142,0.9630390143737166
0.29,0.8072289156626506,0.7505326471077534,0.6948148148148148,0.9630390143737166
0.295,0.8082901554404145,0.7515685453619769,0.6974664679582713,0.9609856262833676
0.3,0.8079584775086506,0.7508587435369566,0.6980568011958147,0.9589322381930184
0.305,0.8086580086580086,0.7517398927663046,0.6991017964071856,0.9589322381930184
0.31,0.8107638888888888,0.7543930114989783,0.7022556390977444,0.9589322381930184
0.315,0.8104347826086956,0.7536951732872507,0.702865761689291,0.9568788501026694
0.32,0.8118466898954704,0.7554767079976196,0.7049924357034796,0.9568788501026694
0.325,0.8139737991266376,0.7581613863783022,0.7082066869300911,0.9568788501026694
0.33,0.8168273444347064,0.7617643324316776,0.7125382262996942,0.9568788501026694
0.335,0.8189806678383128,0.76448430371209,0.7158218125960062,0.9568788501026694
0.34,0.8204225352112676,0.7663061762468198,0.7180277349768875,0.9568788501026694
0.34500000000000003,0.8204225352112676,0.7663061762468198,0.7180277349768875,0.9568788501026694
0.35000000000000003,0.8218694885361552,0.7681349588207124,0.7202472952086554,0.9568788501026694
0.355,0.823321554770318,0.7699707063890816,0.7224806201550388,0.9568788501026694
0.36,0.8247787610619469,0.7718134744902612,0.7247278382581649,0.9568788501026694
0.365,0.8247787610619469,0.7718134744902612,0.7247278382581649,0.9568788501026694
0.37,0.827708703374778,0.7755202974087732,0.729264475743349,0.9568788501026694
0.375,0.8299198575244879,0.7783192653434855,0.7327044025157232,0.9568788501026694
0.38,0.8314005352363961,0.7801943291781945,0.7350157728706624,0.9568788501026694
0.385,0.8314005352363961,0.7801943291781945,0.7350157728706624,0.9568788501026694
0.39,0.8321428571428572,0.7811346086853738,0.7361769352290679,0.9568788501026694
0.395,0.8340807174887892,0.783353690890124,0.7404458598726115,0.9548254620123203
0.4,0.8363309352517986,0.7862104146182218,0.744,0.9548254620123203
0.405,0.8367899008115419,0.7865675515669197,0.7459807073954984,0.9527720739219713
0.41000000000000003,0.8413417951042611,0.792360523686203,0.7532467532467533,0.9527720739219713
0.41500000000000004,0.8428701180744778,0.7943071498283479,0.755700325732899,0.9527720739219713
0.42,0.8436363636363636,0.7952834311143746,0.7569331158238173,0.9527720739219713
0.425,0.845943482224248,0.7982242469957855,0.760655737704918,0.9527720739219713
0.43,0.8474885844748858,0.8001948511699148,0.7631578947368421,0.9527720739219713
0.435,0.8474885844748858,0.8001948511699148,0.7631578947368421,0.9527720739219713
0.44,0.8498168498168498,0.8031660170736273,0.7669421487603306,0.9527720739219713
0.445,0.8487626031164069,0.8016231329687382,0.7665562913907285,0.9507186858316222
0.45,0.8511029411764706,0.8046154453469184,0.7703826955074875,0.9507186858316222
0.455,0.852670349907919,0.8066207446146555,0.7729549248747913,0.9507186858316222
0.46,0.852670349907919,0.8066207446146555,0.7729549248747913,0.9507186858316222
0.465,0.8534562211981567,0.8076265481454143,0.774247491638796,0.9507186858316222
0.47000000000000003,0.8539741219963032,0.8081083888101199,0.7764705882352941,0.9486652977412731
0.47500000000000003,0.8547641073080481,0.8091214678156241,0.7777777777777778,0.9486652977412731
0.48,0.8537037037037037,0.8075859207946449,0.7774030354131535,0.946611909650924
0.485,0.8544949026876738,0.8086020544090752,0.7787162162162162,0.946611909650924
0.49,0.8550185873605948,0.8091076619141214,0.7809847198641766,0.944558521560575
0.495,0.8550185873605948,0.8091076619141214,0.7809847198641766,0.944558521560575
0.5,0.8547486033519553,0.8085986514297471,0.7819420783645656,0.9425051334702259
0.505,0.8563432835820896,0.8106542162368953,0.7846153846153846,0.9425051334702259
0.51,0.8560747663551402,0.8101551826564805,0.7855917667238422,0.9404517453798767
0.515,0.8576779026217228,0.8122259536060145,0.7882960413080895,0.9404517453798767
0.52,0.8576779026217228,0.8122259536060145,0.7882960413080895,0.9404517453798767
0.525,0.8555347091932458,0.809168366571027,0.7875647668393783,0.9363449691991786
0.53,0.8555347091932458,0.809168366571027,0.7875647668393783,0.9363449691991786
0.535,0.856338028169014,0.8102090167663052,0.7889273356401384,0.9363449691991786
0.54,0.8560677328316086,0.809724489793257,0.7899305555555556,0.9342915811088296
0.545,0.8560677328316086,0.809724489793257,0.7899305555555556,0.9342915811088296
0.55,0.8557964184731386,0.8092437792074113,0.7909407665505227,0.9322381930184805
0.555,0.8547169811320755,0.8077165318468847,0.7905759162303665,0.9301848049281314
0.56,0.8536355051935789,0.8061888972776515,0.7902097902097902,0.9281314168377823
0.5650000000000001,0.8503787878787878,0.8016036144386283,0.789103690685413,0.9219712525667351
0.5700000000000001,0.8490028490028491,0.7996008515602399,0.7897526501766784,0.917864476386037
0.5750000000000001,0.8468125594671742,0.7965421910618549,0.7890070921985816,0.9137577002053389
0.58,0.8473282442748091,0.7971373192407318,0.7914438502673797,0.9117043121149897
0.585,0.8473282442748091,0.7971373192407318,0.7914438502673797,0.9117043121149897
0.59,0.8473282442748091,0.7971373192407318,0.7914438502673797,0.9117043121149897
0.595,0.8440191387559809,0.7925505295139951,0.7903225806451613,0.9055441478439425
0.6,0.8426103646833013,0.7905613829700487,0.790990990990991,0.9014373716632443
0.605,0.8414985590778098,0.7890315904639912,0.7906137184115524,0.8993839835728953
0.61,0.8423076923076923,0.7901059728903165,0.7920433996383364,0.8993839835728953
0.615,0.840887174541948,0.7881256994315876,0.7927272727272727,0.8952772073921971
0.62,0.8405797101449275,0.7876786581199869,0.7937956204379562,0.893223819301848
0.625,0.8402710551790901,0.7872355819521674,0.7948717948717948,0.891170431211499
0.63,0.8402710551790901,0.7872355819521674,0.7948717948717948,0.891170431211499
0.635,0.8391472868217055,0.7857073010922296,0.7944954128440367,0.8891170431211499
0.64,0.8370731707317073,0.7828762513077314,0.7973977695167286,0.8809034907597536
0.645,0.8359375,0.7813484020589767,0.7970204841713222,0.8788501026694046
0.65,0.8359375,0.7813484020589767,0.7970204841713222,0.8788501026694046
0.655,0.8341511285574092,0.7789739971995311,0.7988721804511278,0.8726899383983573
0.66,0.8323471400394478,0.7766173467662599,0.8007590132827325,0.86652977412731
0.665,0.83399209486166,0.7788569453218174,0.8038095238095239,0.86652977412731
0.67,0.8328387734915925,0.7773314148329429,0.8034351145038168,0.864476386036961
0.675,0.8341608738828202,0.7791911761189523,0.8076923076923077,0.8624229979466119
0.68,0.8330019880715706,0.7776676681479968,0.8073217726396917,0.8603696098562629
0.685,0.8326693227091634,0.7772797833666708,0.8085106382978723,0.8583162217659137
0.6900000000000001,0.8334995014955134,0.7784187529489135,0.810077519379845,0.8583162217659137
0.6950000000000001,0.8351648351648352,0.780705013049056,0.8132295719844358,0.8583162217659137
0.7000000000000001,0.8304914744232698,0.7746199687177373,0.8117647058823529,0.8501026694045175
0.705,0.8301507537688442,0.774250009493378,0.812992125984252,0.8480492813141683
0.71,0.8298086606243706,0.7738844865350732,0.8142292490118577,0.8459958932238193
0.715,0.82744702320888,0.7708401569267666,0.8134920634920635,0.8418891170431212
0.72,0.8250758341759353,0.7677932369332776,0.8127490039840638,0.837782340862423
0.725,0.8250758341759353,0.7677932369332776,0.8127490039840638,0.837782340862423
0.73,0.8235294117647058,0.7659100714106634,0.8136272545090181,0.8336755646817249
0.735,0.824847250509165,0.7679056405660852,0.8181818181818182,0.8316221765913757
0.74,0.824847250509165,0.7679056405660852,0.8181818181818182,0.8316221765913757
0.745,0.820040899795501,0.7618137761126957,0.8167006109979633,0.8234086242299795
0.75,0.8188331627430911,0.7602890605048377,0.8163265306122449,0.8213552361396304
0.755,0.8221993833504625,0.7650478726710291,0.823045267489712,0.8213552361396304
0.76,0.8218331616889805,0.7647256874196413,0.8243801652892562,0.8193018480492813
0.765,0.8214654282765738,0.7644082843100156,0.8257261410788381,0.8172484599589322
